iteration,relative_residual,relative_energy_gap
0,1.0,1.0
1,0.8757712650241357,0.9838264572421256
2,0.6124364599526687,0.9784997929848638
3,0.6188005695477458,0.9747851776929817
4,0.5028054603226679,0.9721819599435259
5,0.47100928560298017,0.9699696314260285
6,0.44675570562366823,0.9683102015963151
7,0.39708705816010664,0.9667238798906771
8,0.4020123264999159,0.9654821439020813
9,0.355740401320349,0.9642790583034094
10,0.35507209018731956,0.9632711202820736
11,0.32871300185583063,0.9623085865977422
12,0.32358969055897563,0.9614627718339455
13,0.3077547310704504,0.9606569946584593
14,0.3053734860332213,0.9599258437118091
15,0.2862250603850048,0.9592390496198101
16,0.2873700880917885,0.9585886809879385
17,0.29938256725566825,0.957855535398145
18,0.3261854041574785,0.9570312783074676
19,0.32622556248201634,0.956201681284116
20,0.35619959141762497,0.9552346636232354
21,0.3677213639623518,0.9542339903687551
22,0.3921063955118629,0.9530379596548365
23,0.4152732680627996,0.9517790338721664
24,0.42283890921325495,0.9503440142748998
25,0.44517351143732453,0.9488787168834775
26,0.44315524206133616,0.9473268566832797
27,0.4507145845242204,0.9457483908450696
28,0.44619996392957084,0.9441737628382434
29,0.4369852587567262,0.9426430480263125
30,0.43388679785272294,0.9411221893942701
31,0.42168738207351225,0.9397178632486167
32,0.41570924877059,0.9383294043916771
33,0.42828225068839304,0.9369212188316168
34,0.4237704676435728,0.9354316830749563
35,0.43221454103906215,0.9339766036049477
36,0.4377954952629303,0.9324649491445047
37,0.4432623301332779,0.9309273716377197
38,0.4643938604846912,0.929287843147778
39,0.4696571652649058,0.9275820893285148
40,0.48363388335303703,0.9257443223262527
41,0.4938968302195601,0.9238804262887625
42,0.49570922034537207,0.9219235397668384
43,0.5097276547081282,0.9199446725027313
44,0.4955308028305094,0.9179667997448766
45,0.5020571681390779,0.9160189467421322
46,0.4837926912373395,0.9141155720023948
47,0.4848508154713197,0.9122574621502042
48,0.4754471592190473,0.9104804060210477
49,0.4949190158211539,0.90858025081099
50,0.4961575896828466,0.9066448720157162
51,0.5063877249617017,0.9046653687230287
52,0.5055395599912503,0.9026390326535129
53,0.5169942216901928,0.9005971048192914
54,0.519255337734631,0.8984611069687706
55,0.539501588044806,0.896276316888213
56,0.5380172238032032,0.8939785908740819
