iteration,compliance,volume_fraction,max_density_change,gray_fraction
1,1026.8430603758839,0.4998543721775899,0.2,1.0
2,587.6837123638429,0.500067963456122,0.20000000000000007,0.9885416666666667
3,416.6202586590568,0.500108158154393,0.20000000000000007,0.8314583333333333
4,347.92168772600894,0.5000516255003072,0.20000000000000007,0.8097916666666667
5,327.2517112744897,0.4999970424138487,0.1753248542374023,0.7854166666666667
6,314.723540828907,0.4998696544734548,0.20000000000000007,0.7647916666666666
7,305.862118708749,0.49996094903024463,0.15503876356900947,0.7333333333333333
8,297.02469831261465,0.5001896803253748,0.20000000000000007,0.6991666666666667
9,288.7325497621309,0.5002740211634565,0.1456357825798239,0.6760416666666667
10,281.1605302212273,0.49971832039782554,0.17411837462019042,0.6577083333333333
11,275.32978009318197,0.5001966621249607,0.1276089850939438,0.644375
12,267.8461246436179,0.5002338523662434,0.14083077411020228,0.63
13,260.0684027115402,0.4999989620906058,0.16928579536695398,0.5883333333333334
14,251.68611833635003,0.5000492092694622,0.15692009297863152,0.5391666666666667
15,243.2439838311521,0.5000839784434918,0.1497382979703593,0.4825
16,236.38886178021983,0.4999794866416633,0.15960368742693098,0.43916666666666665
17,230.88194422478227,0.5000466399263723,0.14053107336938364,0.40270833333333333
18,226.17459842931518,0.49993263463880777,0.1505886920603109,0.3625
19,221.99597916676908,0.5000681155672178,0.13835733040626386,0.3047916666666667
20,217.7479293152466,0.499953961063754,0.12339334389497514,0.2579166666666667
21,214.47753412376227,0.49999414243264967,0.10465664998748828,0.24708333333333332
22,212.4314744459192,0.5000043372679447,0.10164645839484152,0.23833333333333334
23,211.54074837010552,0.5000577477061579,0.07397039920934116,0.23458333333333334
24,211.114221708911,0.4999900586532179,0.050638983073161725,0.23666666666666666
25,211.02633083423945,0.4999637057515273,0.045484990234862965,0.240625
26,210.99643862932993,0.4999637751228866,0.03989547161314855,0.24229166666666666
27,210.97482801979749,0.4999086901898492,0.0376871702767384,0.24333333333333335
28,210.99087724429984,0.5000117740564599,0.036205975697695014,0.24354166666666666
29,210.91355213107852,0.500105387627917,0.03288174607090677,0.245
30,210.85502091129746,0.49998710954247677,0.029759134095895035,0.24520833333333333
31,210.91998916096315,0.5000127030862463,0.028562150819689158,0.245625
32,210.88479045004897,0.5000107137064164,0.02929403044610779,0.24604166666666666
33,210.8758183118197,0.500039304121118,0.0299321088928014,0.246875
34,210.847759485744,0.500043859998872,0.030323496999450028,0.24770833333333334
35,210.83854888148932,0.5000606553892609,0.02978455764359267,0.2475
36,210.81889167820765,0.5000695790895234,0.028616804497671566,0.2475
37,210.80087971469533,0.500078804091317,0.027083546152119276,0.24770833333333334
38,210.7784902186461,0.5000782853046644,0.025283524824852743,0.24729166666666666
39,210.75882905092917,0.5000739815106603,0.02345226743531481,0.248125
40,210.7384070960786,0.5000594331959693,0.022213200525234233,0.24833333333333332
41,210.72438732454881,0.5000406320662876,0.02106269278146855,0.24875
42,210.7142693517124,0.500015073863992,0.020678273029851146,0.24916666666666668
43,210.71198966836732,0.499979787348373,0.02033478341988393,0.24875
44,210.7225719745624,0.49994310784130014,0.020009198520596683,0.24895833333333334
45,210.7392021680812,0.4999105370176153,0.020366117187428756,0.24770833333333334
46,210.75516583432818,0.5001119974914839,0.021702101159785214,0.24729166666666666
47,210.63627235225624,0.49991774063256894,0.01937408994236245,0.246875
48,210.7656608076184,0.499916435440154,0.019521795500503147,0.24666666666666667
49,210.74799667589826,0.5000650174602687,0.020497679706629413,0.24645833333333333
50,210.65546341419048,0.49989031407559426,0.01773704269031451,0.24833333333333332
51,210.75663095601328,0.5000910008254696,0.01911549661323997,0.2520833333333333
52,210.61316185937767,0.5000838772197005,0.017996161136135003,0.248125
53,210.615643650972,0.49991094021355775,0.0168629415435263,0.2475
54,210.6941310899438,0.5000596203382829,0.017733855039073876,0.24708333333333332
55,210.56900371749015,0.5000506051687055,0.01701610518008234,0.24729166666666666
56,210.55466757957686,0.5000831603356659,0.017155054388582447,0.2475
57,210.5013891358526,0.5000642192244757,0.01769223998022229,0.24791666666666667
58,210.47774355325285,0.5000567651424426,0.01812152196441652,0.24770833333333334
59,210.4394446171812,0.500008792350034,0.01835064559305699,0.24875
60,210.43205921886386,0.4999610509090714,0.017483349385613578,0.24895833333333334
61,210.42948098768923,0.49991299021713625,0.01731719022991507,0.24875
62,210.43122115283637,0.5001016215935201,0.017439943401454272,0.248125
63,210.30033511816706,0.4998995472815515,0.01467020148032161,0.25
64,210.41809893159717,0.4998869515847849,0.014200052893206805,0.25104166666666666
65,210.39659471699065,0.5000315729773163,0.015146099070714847,0.25
66,210.29885699708007,0.5000768122984429,0.013670407548103447,0.2502083333333333
67,210.27138210930232,0.5001089387573624,0.012910021361312363,0.249375
68,210.24832950422967,0.4998857334994769,0.013695277948526319,0.24854166666666666
69,210.3713409267791,0.500055046745933,0.013187440107867321,0.24729166666666666
70,210.24256409406715,0.5000258202249084,0.01252225538135776,0.2475
71,210.2593356804628,0.5000690180257857,0.011743247379120691,0.24645833333333333
72,210.21962063965816,0.5000444743653224,0.011720554534542793,0.24625
73,210.22635893925266,0.5000548048307474,0.011666861106461757,0.24625
74,210.20372146337496,0.5000354227032989,0.011996175485953331,0.24541666666666667
75,210.20019866848588,0.5000295328895614,0.012381201743489223,0.24604166666666666
76,210.1850088793592,0.500012050427698,0.012749749365671637,0.24645833333333333
77,210.1765595051582,0.5000015074875698,0.012998851228264052,0.24625
78,210.16091062818145,0.4999829856797166,0.01315777421555342,0.24708333333333332
79,210.14956870807646,0.49996141608088285,0.013153803593585867,0.24625
80,210.14158605471306,0.4999387725495009,0.013267361116532372,0.246875
81,210.135896290871,0.4999203177848845,0.013268909137873264,0.24708333333333332
82,210.1297531717749,0.499900819839937,0.012811228595561386,0.2475
83,210.12742027705298,0.500111444857344,0.013519056049700828,0.24729166666666666
84,209.99366968833235,0.499925840520282,0.01156935433536177,0.24770833333333334
85,210.1098265062057,0.4999234668947754,0.011058484012626324,0.24729166666666666
86,210.08761601065027,0.5000802902858792,0.012239167311365096,0.24625
87,209.98462647126428,0.49990437262555837,0.011170150158566594,0.24708333333333332
88,210.086688282845,0.5001068887888832,0.011274103348391296,0.24666666666666667
89,209.94558624020686,0.5001056733751225,0.010590111441238559,0.246875
90,210.04057115979575,0.4999381727911479,0.009921563514477594,0.24770833333333334
